id_dispositivo,total_wh,inicio_periodo,fim_periodo
Luz da sala,12,2025-09-15 20:08:46.624837,2025-09-15 20:08:46.624837
Luz da sala,,2025-09-15 20:08:46.625854,2025-09-15 20:08:46.625854
Luz da sala,,2025-09-15 20:08:46.628977,2025-09-15 20:08:46.628977
Luz da sala,,2025-09-15 20:08:46.629389,2025-09-15 20:08:46.629389
Luz da sala,,2025-09-15 20:08:46.631931,2025-09-15 20:08:46.631931
Luz da sala,12,2025-09-15 20:08:46.634951,2025-09-15 20:08:46.634951,0.0,2025-09-15 22:30:48.008856,
,0.0,2025-09-15 22:32:59.105120,
,0.0,2025-09-15 22:34:33.942044,
,4.435555555555556e-05,2025-09-15 22:34:33.944040,2025-09-15 22:34:33.944040
Tomada de tv sala,0.0,2025-09-15 22:36:03.104704,
Tomada de tv sala,0.0006017333333333334,2025-09-15 22:36:03.104704,2025-09-15 22:36:03.131781
Tomada de tv sala,0.0,2025-09-15 22:47:58.004066,
Tomada de tv sala,7.922222222222223e-05,2025-09-15 22:47:58.005069,2025-09-15 22:47:58.007632
Tomada de tv sala,0.0,2025-09-15 22:51:14.503028,
Tomada de tv sala,0.00014544444444444444,2025-09-15 22:51:14.503028,2025-09-15 22:51:14.508582
Tomada de tv sala,0.0,2025-09-15 22:52:12.703907,
Tomada de tv sala,0.000147,2025-09-15 22:52:12.704888,2025-09-15 22:52:12.710522
Tomada de tv sala,0.0,2025-09-15 22:52:59.555947,
Tomada de tv sala,0.0001007111111111111,2025-09-15 22:52:59.557453,2025-09-15 22:52:59.560480
Tomada de tv sala,0.0,2025-09-15 22:53:45.596431,
Tomada de tv sala,9.573333333333333e-05,2025-09-15 22:53:45.596431,2025-09-15 22:53:45.600740
Porta da Frente,12,2025-09-15 23:15:14.255903,2025-09-15 23:15:14.255903
Porta da Frente,12,2025-09-15 23:15:14.256904,2025-09-15 23:15:14.256904
Porta da Frente,12,2025-09-15 23:15:14.259909,2025-09-15 23:15:14.259909
Porta da Frente,12,2025-09-15 23:16:35.464063,2025-09-15 23:16:35.464063
Porta da Frente,12,2025-09-15 23:16:35.479819,2025-09-15 23:16:35.479819
Porta da Frente,12,2025-09-15 23:16:35.479819,2025-09-15 23:16:35.479819
Porta da Frente,12,2025-09-15 23:16:35.479819,2025-09-15 23:16:35.479819
Porta da Frente,12,2025-09-15 23:16:35.479819,2025-09-15 23:16:35.479819
